ID	Type	Count
1	T2	99794
2	T2	99784
3	T2	99793
4	T2	99700
5	T2	99368
6	T2	96433
7	T2	84702
8	T2	59097
9	T2	32074
10	T2	15591
11	T2	8979
12	T2	7011
13	T2	6370
14	T2	6256
15	T2	6268
16	T2	6244
17	T2	6285
18	T2	6299
19	T2	6345
20	T2	6357
1	T3	0
2	T3	0
3	T3	0
4	T3	10
5	T3	237
6	T3	2880
7	T3	14358
8	T3	39885
9	T3	66845
10	T3	83447
11	T3	90241
12	T3	92482
13	T3	93432
14	T3	93988
15	T3	94503
16	T3	95071
17	T3	95753
18	T3	96601
19	T3	97570
20	T3	98629
1	T1	300206
2	T1	300216
3	T1	300207
4	T1	300290
5	T1	300395
6	T1	300687
7	T1	300940
8	T1	301018
9	T1	301081
10	T1	300962
11	T1	300780
12	T1	300507
13	T1	300198
14	T1	299756
15	T1	299229
16	T1	298685
17	T1	297962
18	T1	297100
19	T1	296085
20	T1	295014
